diagnostic_category,diagnosis_icd10_code,diagnosis,dsm_symptom_criteria,symptom_id,symptom_segment,zcode_hrsn,symp_prob
Anxiety Disorders,F41.1,Panic Disorder,Restlessness,F41.1.001,Restlessness,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Fatigue,F41.1.002,Fatigue,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Difficulty Concentrating,F41.1.003,Difficulty Concentrating,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Irritability,F41.1.004,Irritability,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Muscle Tension,F41.1.005,Muscle Tension,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Sleep Disturbance,F41.1.006,Sleep Disturbance,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Sweaty Palms,F41.1.007,Sweaty Palms,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Shaking or Trembling,F41.1.008,Shaking,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Shortness of Breath,F41.1.009,Shortness of Breath,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Feelings of Choking,F41.1.010,Choking Sensation,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Chest Pain or Discomfort,F41.1.011,Chest Pain,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Nausea or Abdominal Distress,F41.1.012,Nausea,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Feeling Dizzy or Lightheaded,F41.1.013,Dizziness,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Chills or Hot Flashes,F41.1.014,Hot Flashes,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Fear of Losing Control,F41.1.015,Losing Control,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Fear of Dying,F41.1.016,Fear of Dying,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Feeling Detached from Reality,F41.1.017,Detachment,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Excessive Sweating,F41.1.018,Excessive Sweating,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Heart Palpitations,F41.1.019,Heart Palpitations,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Tingling Sensations,F41.1.020,Tingling Sensations,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Numbness or Tingling,F41.1.021,Numbness,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Hyperventilation,F41.1.022,Hyperventilation,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Pounding Heartbeat,F41.1.023,Pounding Heartbeat,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Sudden Fear of Impending Doom,F41.1.024,Impending Doom,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Chest Tightness,F41.1.025,Chest Tightness,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Trembling or Shaking,F41.1.026,Trembling,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Feeling of Suffocation,F41.1.027,Suffocation Feeling,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Rapid Breathing,F41.1.028,Rapid Breathing,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Confusion or Disorientation,F41.1.029,Confusion,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Dread or Intense Anxiety,F41.1.030,Intense Anxiety,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Fear of Losing Control,F41.1.031,Fear of Losing Control,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Choking Sensations,F41.1.032,Choking Sensations,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Blurred Vision,F41.1.033,Blurred Vision,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Dry Mouth,F41.1.034,Dry Mouth,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Shaking or Trembling Hands,F41.1.035,Shaking Hands,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Sweaty Palms,F41.1.036,Sweaty Palms,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Stomach Pain,F41.1.037,Stomach Pain,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Flushed Face,F41.1.038,Flushed Face,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Shortness of Breath,F41.1.039,Shortness of Breath,No,Symptom
Anxiety Disorders,F41.1,Panic Disorder,Fainting,F41.1.040,Fainting,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Public Places,F40.0.001,Fear of Public Places,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Open Spaces,F40.0.002,Fear of Open Spaces,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Crowded Areas,F40.0.003,Fear of Crowded Areas,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Avoidance of Public Transport,F40.0.004,Avoidance of Transport,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being in Enclosed Spaces,F40.0.005,Fear of Enclosed Spaces,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Leaving Home,F40.0.006,Fear of Leaving Home,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Avoidance of Crowded Places,F40.0.007,Avoidance of Crowded Places,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being in Line,F40.0.008,Fear of Lines,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being Far from Help,F40.0.009,Fear of No Help,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Difficulty Leaving the House,F40.0.010,Difficulty Leaving Home,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Panic Attacks in Public,F40.0.011,Fear of Panic Attacks,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Feeling Trapped in Situations,F40.0.012,Feeling Trapped,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Shortness of Breath,F40.0.013,Shortness of Breath,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Dizziness When Outside,F40.0.014,Dizziness,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Rapid Heartbeat in Crowds,F40.0.015,Rapid Heartbeat,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Sweating When in Public,F40.0.016,Sweating in Public,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Shaking or Trembling in Open Spaces,F40.0.017,Shaking or Trembling,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Nausea When in Public,F40.0.018,Nausea,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Avoiding Travel by Car or Bus,F40.0.019,Avoiding Travel,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being in Elevators,F40.0.020,Fear of Elevators,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being in Tunnels,F40.0.021,Fear of Tunnels,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Difficulty Walking in Public,F40.0.022,Difficulty Walking,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Escalators,F40.0.023,Fear of Escalators,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Feeling Faint in Public Spaces,F40.0.024,Feeling Faint,No,Symptom
